Threads,Time (ms),Speedup (x)
1,429.663,1.0
2,215.592,1.99
3,144.769,2.97
4,108.839,3.95
5,87.041,4.94
6,73.265,5.86
7,65.386,6.57
8,58.589,7.35
9,53.456,8.06
10,49.773,8.66
11,44.051,9.8
12,41.946,10.28
13,38.89,11.07
14,37.041,11.63
15,34.932,12.32
16,35.97,11.95
17,42.558,10.1
18,40.996,10.48
19,45.725,9.4
20,43.95,9.85
21,43.082,10.07
22,39.096,11.0
23,38.692,11.11
24,39.28,10.94
25,39.097,10.99
26,38.958,11.11
27,38.171,11.26
28,39.492,10.89
29,42.508,10.15
30,40.252,10.73
31,40.349,10.71
32,36.088,11.95
